3,GREEDY,GREEDY_ITER,2OPT_GREEDY
pr439.tsp,131282.092392,127228.356979,109754.153061
kroA150.tsp,33609.866985,31482.019985,27027.069450
d198.tsp,18267.350494,17648.546316,15980.221050
ch130.tsp,7575.286256,7198.741130,6250.974169
kroB100.tsp,29155.043608,25882.973104,22346.609419
berlin52.tsp,8980.918318,8182.191572,7658.958357
eil51.tsp,513.610006,505.773665,431.873979
kroD100.tsp,26950.461187,24855.799292,21551.932631
pr299.tsp,59899.009557,58288.147527,49559.408620
ch150.tsp,8194.614304,7078.444638,6560.940100
pr107.tsp,46678.154236,46678.154236,44346.186935
kroB200.tsp,36981.589992,35394.008803,30464.582797
a280.tsp,3148.109927,3094.278432,2663.352404
pr264.tsp,58022.856354,54491.481781,50739.357056
pr76.tsp,153461.923218,130921.005005,108879.743835
d493.tsp,43646.376152,41499.354752,35698.152233
pr136.tsp,120777.859619,114560.902039,103459.465759
kroA100.tsp,26856.388557,24698.496544,21362.979462
kroB150.tsp,32825.749815,31320.340513,26630.076422
bier127.tsp,135751.778381,133970.645874,119336.775421
kroC100.tsp,26327.361862,23566.403046,20996.576187
eil76.tsp,711.993294,612.655822,559.315408
pr124.tsp,69299.425537,67056.600891,59086.809631
eil101.tsp,825.242321,736.368439,652.097339
kroA200.tsp,35798.409025,34547.690683,29666.402899
pr152.tsp,85702.953400,79566.585663,74461.655304
pr226.tsp,94685.454437,92552.742645,82140.452728
pr144.tsp,61650.719604,60963.264893,58669.427002
kroE100.tsp,27587.187286,24907.021629,22407.485947
