3,OPTIMAL,TABU_SEARCH,VNS
pr439.tsp,107217,109754.153061,108218.075401
kroA150.tsp,26524,27027.069450,26697.088451
d198.tsp,15780,15980.221050,15957.061579
ch130.tsp,6110,6250.974169,6231.159317
kroB100.tsp,22141,22346.609419,22258.113295
berlin52.tsp,7542,7658.958357,7544.365919
eil51.tsp,426,431.873979,431.873979
kroD100.tsp,21294,21551.932631,21551.932631
pr299.tsp,48191,49559.408620,49225.667767
ch150.tsp,6528,6560.940100,6560.940100
pr107.tsp,44303,44346.186935,44346.186935
kroB200.tsp,29437,30464.582797,30211.229228
a280.tsp,2579,2650.187314,2631.454999
pr264.tsp,49135,50739.357056,49450.680695
pr76.tsp,108159,108879.743835,108879.743835
d493.tsp,35002,35663.062466,35663.062466
pr136.tsp,96772,103459.465759,101791.776978
kroA100.tsp,21282,21362.979462,21285.443085
kroB150.tsp,26130,26630.076422,26405.445402
bier127.tsp,118282,119336.775421,119336.775421
kroC100.tsp,20749,20996.576187,20805.997124
eil76.tsp,538,559.315408,559.315408
pr124.tsp,59030,59086.809631,59030.735779
eil101.tsp,629,647.716178,652.097339
kroA200.tsp,29368,29666.402899,29648.477026
pr152.tsp,73682,74461.655304,74461.655304
pr226.tsp,80369,82140.452728,81088.319717
pr144.tsp,58537,58669.427002,58669.427002
kroE100.tsp,22068,22407.485947,22357.693222
